LOTE;UNIDAD;TIPO;MARCA;MODELO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
1;BFE;STATION WAGON;CHEVROLET;SUBURBAN 4X4 5.3 AUT;2018;4x4;B;41090;23100000
2;PARTICULARES;STATION WAGON;KIA MOTORS;GRAND CARNIVAL EX 2.2 AUT;2018;4x2;D;113459;14400000
3;BFE;STATION WAGON;BMW;X1 SDRIVE20I LUXURY 2.0 AUT;2017;AWD;B;32154;14700000
4;BFE;STATION WAGON;CHEVROLET;CAPTIVA PREMIER 1.5;2020;4x2;B;13109;13000000
5;PARTICULARES;STATION WAGON;SEAT;ATECA 4X4 1.4 AUT;2020;4x4;B;2066;13600000
6;AUTOMOTORAS;HATCHBACK;PEUGEOT;308 BLUE HDI HB 1.6 AUT;2019;4x2;D;49238;10600000
7;PARTICULARES;HATCHBACK;CITROËN;C3 HDI 1.5;2020;4x2;D;15816;10400000
8;BFE;STATION WAGON;MITSUBISHI;ECLIPSE CROSS RX 1.5 AUT;2019;4x2;B;5281;11600000
9;BFE;STATION WAGON;CHEVROLET;TRACKER II LS 1.8;2019;4x2;B;16379;9600000
10;PARTICULARES;STATION WAGON;NISSAN;QASHQAI SENSE 2.0;2018;4x2;B;29269;8800000
11;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;63412;8100000
12;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;63659;8100000
13;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;65882;8100000
14;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5 AUT;2020;4x2;B;12;8000000
15;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;15;7800000
16;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;24;6800000
17;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;28;7800000
18;AUTOMOTORAS;STATION WAGON;CHANGAN;CS55 1.5;2020;4x2;B;59;6800000
19;LEASING;STATION WAGON;HYUNDAI;TUCSON TL 2.0 AT;2017;4x2;B;96739;8400000
20;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;37084;7200000
21;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;36857;6900000
22;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;39331;6900000
23;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
24;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
25;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
26;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3000000
27;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;1;3100000
28;LEASING;CAMIONETA;FORD;RANGER XLT 4X4 3.2;2018;4x4;D;101311;10500000
29;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2018;4x4;D;65449;10100000
30;LEASING;CAMIONETA;NISSAN;NP300 DCAB 4X4 2.3;2017;4x4;D;53047;9300000
31;LEASING;CAMIONETA;NISSAN;NP300 DCAB SE 4X4 2.3;2017;4x4;D;142826;8500000
32;LEASING;CAMIONETA;CHEVROLET;NEW DMAX 2.5;2018;4x4;D;69726;8100000
33;LEASING;CAMIONETA;TOYOTA;HILUX DX D CAB 2.4;2019;4x2;D;29225;10600000
34;LEASING;CAMIONETA;TOYOTA;HILUX D CAB TDI DX 2.4;2019;4x2;D;35321;10600000
35;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2019;4x2;D;50803;10300000
36;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.4;2018;4x2;D;32301;8700000
37;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.4;2018;4x2;D;81562;8300000
38;BFE;CAMIONETA;MITSUBISHI;L200 WORK D CAB CR 2.4;2018;4x2;D;146276;8100000
39;LEASING;CAMIONETA;FORD;RANGER XLT 4X4 3.2;2016;4x4;D;89780;8600000
40;LEASING;CAMIONETA;TOYOTA;HI LUX 2.4;2018;4x2;D;163379;7800000
41;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2017;4x4;D;137721;7300000
42;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2017;4x4;D;144177;7400000
43;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2016;4x4;D;97144;8200000
44;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;31895;7600000
45;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;84647;7300000
46;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;129904;7600000
47;LEASING;CAMIONETA;CHEVROLET;DMAX 4WD 2.5;2017;4x4;D;209225;6600000
48;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2017;4x2;D;84536;6400000
49;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2017;4x2;D;148075;6300000
50;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2016;4x2;D;120921;6300000
51;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2016;4x2;D;150707;6200000
52;LEASING;CAMIONETA;FIAT;STRADA 1.4;2016;4x2;B;48382;4900000
53;LEASING;CAMIONETA;FIAT;STRADA TREKKING DCAB 1.4;2016;4x2;B;175181;3900000
54;LEASING;FURGON;HYUNDAI;H1 CRDI GL 2.5;2017;4x2;D;107211;8100000
55;AUTOMOTORAS;FURGON;CHANGAN;M201 DOHC 1.2;2020;4x2;B;16;4800000
56;AUTOMOTORAS;FURGON;CHANGAN;M201 DOHC 1.2;2018;4x2;B;25;4200000
57;BFE;CAMIONETA;CHANGAN;MS201 DCAB 1.2;2018;4x2;B;35691;4600000
58;LEASING;FURGON;FIAT;FIORINO 1.3;2014;4x2;D;141113;4200000
59;LIQUIDACIONES;SEDAN;KIA MOTORS;RIO 5 EX 1.4;2019;4x2;B;18679;6100000
60;AUTOMOTORAS;STATION WAGON;CHANGAN;CS35 1.6 AT;2018;4x2;B;568;6000000
61;AUTOMOTORAS;STATION WAGON;CHANGAN;A500 OTTO 1.5;2020;4x2;B;31;5800000
62;PARTICULARES;HATCHBACK;PEUGEOT;208 ACTIVE 1.2 AUT;2017;4x2;B;55777;6500000
63;BFE;STATION WAGON;CHEVROLET;SPIN LTZ 1.8;2018;4x2;B;21711;5400000
64;PARTICULARES;STATION WAGON;MG;ZS 1.5 AUT;2019;4x2;B;15898;6500000
65;BFE;HATCHBACK;SUZUKI;BALENO GLX HB 1.4;2018;4x2;B;38491;5500000
66;BFE;HATCHBACK;CHEVROLET;ONIX LTZ 1.4;2019;4x2;B;20031;4800000
67;AUTOMOTORAS;STATION WAGON;RENAULT;DUSTER DYNAMIQUE 1.6;2017;4x2;B;54644;5000000
68;BFE;HATCHBACK;SUZUKI;SWIFT GLS HB 1.2;2019;4x2;B;19809;5300000
69;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;48579;5600000
70;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;48816;5600000
71;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;48864;5300000
72;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;49072;5300000
73;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2019;4x2;B;30738;5200000
74;BFE;SEDAN;MITSUBISHI;LANCER 1.6;2018;4x2;B;34299;5300000
75;BFE;STATION WAGON;CHERY;TIGGO 2 GLS 1.5;2018;4x2;B;13780;4700000
76;PARTICULARES;SEDAN;NISSAN;VERSA SENSE 1.6;2018;4x2;B;18375;5700000
77;PARTICULARES;SEDAN;RENAULT;SYMBOL 1.6;2019;4x2;B;14081;5100000
78;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2017;4x2;B;44352;4800000
79;BFE;SEDAN;CHEVROLET;SAIL 1.5;2019;4x2;B;40843;4500000
80;BFE;SEDAN;CHEVROLET;SAIL LS 1.5;2019;4x2;B;48088;4000000
81;BFE;SEDAN;CHEVROLET;SAIL 1.5;2019;4x2;B;48229;4200000
82;BFE;SEDAN;CHEVROLET;SAIL 1.5;2018;4x2;B;38483;4000000
83;BFE;SEDAN;SUZUKI;CIAZ GL 1.4;2017;4x2;B;55084;3900000
84;PARTICULARES;SEDAN;CHEVROLET;PRISMA LTZ 1.4;2017;4x2;B;68911;4700000
85;PARTICULARES;HATCHBACK;FORD;FIESTA TITANIUM 1.6;2015;4x2;B;75759;4800000
86;PARTICULARES;HATCHBACK;CITROËN;C4 N2 1.6;2014;4x2;B;77594;4200000
87;BFE;HATCHBACK;MG;NEW 3 1.5;2019;4x2;B;28782;4300000
88;BFE;STATION WAGON;BAIC;X35 LUXURY 1.5;2018;4x2;B;43709;4100000
89;PARTICULARES;HATCHBACK;SUZUKI;ALTO K10 GLX HB 1.0;2019;4x2;B;45538;3500000
90;BFE;SEDAN;CHEVROLET;SAIL CLASSIC LS 1.4;2016;4x2;B;64371;3100000
91;BFE;HATCHBACK;CHEVROLET;SPARK GT HB DOHC 1.2;2019;4x2;B;67233;3500000
92;PARTICULARES;HATCHBACK;SUZUKI;ALTO K10 GLX 1.0;2017;4x2;B;24556;3000000
93;PARTICULARES;SEDAN;CHEVROLET;SAIL II LT 1.4;2015;4x2;B;88778;3300000
94;BFE;HATCHBACK;CHEVROLET;SONIC II 1.6;2013;4x2;B;83357;3000000
95;PARTICULARES;STATION WAGON;DFM;H30 CROSS ELEGANTE 1.6;2017;4x2;B;80192;3000000
96;PARTICULARES;HATCHBACK;VOLKSWAGEN;GOL TRENDLINE 1.6;2014;4x2;B;125067;3800000
97;BFE;HATCHBACK;JAC;J2 HB 1.0;2016;4x2;B;42133;2400000
98;PARTICULARES;HATCHBACK;SUZUKI;ALTO GL 800 CC;2014;4x2;B;81318;2300000
99;BFE;HATCHBACK;CHEVROLET;SPARK LITE HB 1.0;2013;4x2;B;97540;1700000
100;BFE;SEDAN;NISSAN;PLATINA 1.6;2008;4x2;B;164451;1400000
1;BFE;CAMIONETA;CHEVROLET;SILVERADO LTZ 5.3 AUT;2019;4x4;B;11749;24600000
2;AUTOMOTORAS;CAMIONETA;DODGE;RAM 1500 RC 5.7 AUT;2017;4x4;B;60000;10900000
3;AUTOMOTORAS;STATION WAGON;JEEP;GRAND CHEROKEE OVERLAND 4X4 5.7;2015;4x4;B;72177;11700000
4;AUTOMOTORAS;STATION WAGON;AUDI;Q3 TDI 2.0;2016;4x2;D;50199;12800000
5;PARTICULARES;STATION WAGON;MAZDA;NEW CX5 GT 4X4 2.2 AUT;2016;AWD;D;131058;10800000
6;AUTOMOTORAS;STATION WAGON;HONDA;PILOT TOURING 4X4 3.5 AUT;2016;4x4;B;90899;11600000
7;AUTOMOTORAS;STATION WAGON;JEEP;CHEROKEE LONGITUDE 2.4;2016;4x2;B;29504;9800000
8;PARTICULARES;STATION WAGON;MAZDA;NEW CX 5 R 4X4 2.0;2017;4x4;B;46613;9500000
9;PARTICULARES;STATION WAGON;MAZDA;NEW CX 5 R 2.0 AUT;2016;4x2;B;61273;8700000
10;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2019;4x2;D;60845;8100000
11;AUTOMOTORAS;HATCHBACK;PEUGEOT;308 BLUE HDI HB 1.6 AUT;2019;4x2;D;48617;8700000
12;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;35924;6400000
13;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;38439;6400000
14;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;60941;7700000
15;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;64832;7700000
16;PARTICULARES;STATION WAGON;KIA MOTORS;SORENTO EX 2.4;2017;4x2;B;64443;10200000
17;AUTOMOTORAS;STATION WAGON;HONDA;CR V EX 2.4 AUT;2016;4WD;B;47613;9600000
18;BFE;STATION WAGON;JEEP;GRAND CHEROKEE LAREDO SPORT 3.6;2013;4x2;B;65596;7200000
19;PARTICULARES;STATION WAGON;KIA MOTORS;SPORTAGE LX 2.0;2017;AWD;B;50494;8600000
20;AUTOMOTORAS;STATION WAGON;NISSAN;X TRAIL SENSE CVT 2.5;2016;4x2;B;73647;8500000
21;PARTICULARES;STATION WAGON;SUBARU;OUTBACK LTD CVT 2.5I;2015;AWD;B;82354;8800000
22;PARTICULARES;STATION WAGON;FORD;ESCAPE 4X4 2.0 AUT;2016;4x2;B;45878;7600000
23;LEASING;STATION WAGON;MAZDA;5 DOHC 2.0 AUT;2018;4x2;B;69120;6300000
24;LEASING;STATION WAGON;MAZDA;5 DOHC 2.0 AUT;2018;4x2;B;70711;6300000
25;PARTICULARES;HATCHBACK;PEUGEOT;308 GT BLUE HDI 2.0;2015;4x2;D;132965;8900000
26;LEASING;CAMIONETA;FORD;RANGER DCAB XLT 4X4 3.2;2018;4x4;D;61432;10000000
27;LEASING;CAMIONETA;FORD;RANGER DCAB XLT 4X4 3.2;2018;4x4;D;93708;10000000
28;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2019;4x4;D;27357;9500000
29;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2019;4x4;D;34760;9000000
30;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2019;4x4;D;38849;8900000
31;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2019;4x4;D;69781;9600000
32;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2019;4x4;D;78492;9000000
33;LEASING;CAMIONETA;TOYOTA;HI LUX 4X4 2.8;2017;4x4;D;89559;9300000
34;LEASING;CAMIONETA;TOYOTA;HILUX DCAB 4X4 2.8 AUT;2017;4x4;D;132467;10500000
35;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI 4X4 2.4;2018;4x4;D;24233;8100000
36;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;45003;9000000
37;LEASING;CAMIONETA;TOYOTA;HILUX DX 4X4 2.4;2018;4x4;D;53657;8800000
38;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;62753;8800000
39;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX TDI 4X4 2.4;2018;4x4;D;64903;8100000
40;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;67561;7900000
41;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;69155;8100000
42;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI 4X4 2.4;2018;4x4;D;71065;7800000
43;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;72455;7900000
44;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;72528;7600000
45;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;74954;7600000
46;LEASING;CAMIONETA;TOYOTA;HILUX DX 4X4 2.4;2018;4x4;D;82949;7600000
47;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2018;4x4;D;88832;8100000
48;LEASING;CAMIONETA;TOYOTA;HILUX DX 4X4 2.4;2018;4x4;D;94993;8100000
49;LEASING;CAMIONETA;TOYOTA;HILUX D CAB TDI DX 4X4 2.4;2018;4x4;D;108982;7400000
50;LEASING;CAMIONETA;TOYOTA;HILUX D CAB TDI 4X4 2.8 AUT;2016;4x4;D;91709;10500000
51;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.8;2016;4x4;D;114020;7600000
52;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2017;4x4;D;44238;6700000
53;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2017;4x4;D;52513;7200000
54;LEASING;CAMIONETA;TOYOTA;HILUX DX 4X4 2.4;2017;4x4;D;68067;7400000
55;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2017;4x4;D;69578;7400000
56;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2017;4x4;D;95113;7500000
57;LEASING;CAMIONETA;TOYOTA;HILUX TDI DX 2.4;2019;4x2;D;40974;7700000
58;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2019;4x2;D;41747;7700000
59;LEASING;CAMIONETA;TOYOTA;HILUX DX D CAB 2.4;2019;4x2;D;51247;7700000
60;BFE;CAMIONETA;NISSAN;NP300 DCAB XE 2.5;2017;4x2;B;28612;8400000
61;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2018;4x2;D;22775;7600000
62;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2018;4x2;D;44636;7200000
63;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2018;4x2;D;48007;7200000
64;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2018;4x2;D;56236;7000000
65;LEASING;CAMIONETA;TOYOTA;HI LUX DX 2.4;2018;4x2;D;77905;7600000
66;LEASING;CAMIONETA;TOYOTA;HI LUX DX 2.4;2018;4x2;D;91209;7000000
67;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2016;4x4;D;43473;8900000
68;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2016;4x4;D;75239;7100000
69;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2016;4x4;D;105651;6900000
70;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2017;4x4;D;133105;6800000
71;LEASING;CAMIONETA;TOYOTA;HILUX D CAB DX 4X4 2.4;2017;4x4;D;180381;6600000
72;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2016;4x4;D;127386;7100000
74;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2016;4x4;D;106681;6900000
75;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 2.0;2016;4x2;D;46001;6100000
76;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 2.0;2016;4x2;D;56221;6100000
77;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 2.0;2016;4x2;D;87255;5800000
78;LEASING;CAMIONETA;CHEVROLET;DMAX 4WD 2.5;2017;4x4;D;132197;6800000
79;LEASING;CAMIONETA;CHEVROLET;DMAX 4WD 2.5;2017;4x4;D;174503;6900000
80;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI 2.4;2017;4x2;D;112865;6900000
81;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI SR 2.5;2016;4x2;D;82053;4900000
82;LEASING;CAMIONETA;CHEVROLET;D MAX 2.5;2017;4x2;D;60594;6700000
83;LEASING;CAMIONETA;CHEVROLET;D MAX 2.5;2017;4x2;D;118308;5500000
84;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.5;2015;4x4;D;42904;6400000
85;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.5;2015;4x4;D;68767;6400000
86;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.5;2015;4x4;D;108988;6400000
87;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.5;2015;4x2;D;76719;4500000
88;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.5;2015;4x2;D;92048;4500000
89;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.5;2015;4x2;D;96880;4300000
90;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA 2.5;2015;4x2;D;151425;4600000
91;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRM 4X4 2.4;2018;4x4;D;212499;6600000
92;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2016;4x4;D;202587;6400000
93;BFE;CAMIONETA;NISSAN;TERRANO DXS 2.4;2013;4x4;B;80338;5700000
94;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2015;4x2;D;197105;5400000
95;LEASING;CAMIONETA;CHEVROLET;D MAX E4 DCAB 4WD 2.5;2014;4x4;D;242892;4700000
96;LEASING;CAMIONETA;KIA MOTORS;FRONTIER D CAB 2.5;2017;4x2;D;136692;6700000
97;AUTOMOTORAS;FURGON;JAC;REFINE M4 1.9;2019;4x2;D;60;9000000
98;AUTOMOTORAS;STATION WAGON;CHEVROLET;CAPTIVA IV LT FULL AWD 2.2 AT;2014;AWD;D;102336;7100000
99;AUTOMOTORAS;STATION WAGON;CHANGAN;CS75 ELITE 2.0 AUT;2018;4x2;B;66;6300000
100;AUTOMOTORAS;STATION WAGON;CHANGAN;CS75 LX 2.0;2017;4x2;B;54;5400000
101;BFE;STATION WAGON;DFM;AX7 2.0;2020;4x2;B;9136;5200000
102;BFE;HATCHBACK;MAZDA;NEW 3 SPORT 2.0 AT;2015;4x2;B;117252;5700000
103;LEASING;STATION WAGON;SUZUKI;GRAND NOMADE GLX 4X4 2.4;2016;4WD;B;51530;5700000
104;AUTOMOTORAS;STATION WAGON;MAZDA;CX9 GT 4X4 3.7 AT;2013;AWD;B;78632;5800000
105;PARTICULARES;SEDAN;MAZDA;NEW 6 2.0;2015;4x2;B;173839;5900000
106;PARTICULARES;SEDAN;BMW;316 I 1.6 AUT;2012;4x2;B;100291;5200000
107;PARTICULARES;SEDAN;CHEVROLET;SAIL 1.5;2020;4x2;B;1238;5500000
108;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2018;4x2;B;3398;5600000
109;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2018;4x2;B;35631;5200000
110;LEASING;HATCHBACK;SUZUKI;SWIFT GL 1.2;2019;4x2;B;49643;5200000
111;LEASING;HATCHBACK;SUZUKI;SWIFT GL 1.2;2019;4x2;B;48933;5200000
112;LEASING;HATCHBACK;SUZUKI;SWIFT GL 1.2;2019;4x2;B;50214;5200000
113;LEASING;HATCHBACK;SUZUKI;SWIFT DOHC HB 1.2;2019;4x2;B;52112;5200000
114;BFE;SEDAN;CHEVROLET;PRISMA LTZ 1.4;2019;4x2;B;20175;4900000
115;BFE;SEDAN;CHEVROLET;SAIL 1.5;2018;4x2;B;13137;4500000
116;BFE;SEDAN;CHEVROLET;SAIL LS 1.5;2017;4x2;B;42860;3700000
117;PARTICULARES;STATION WAGON;RENAULT;DUSTER DYNAMIQUE 1.6;2017;4x2;B;67956;5400000
118;PARTICULARES;SEDAN;KIA MOTORS;RIO 5 EX 1.4;2017;4x2;B;63200;5600000
119;BFE;STATION WAGON;CHEVROLET;SPIN LTZ 1.8;2017;4x2;B;56252;4500000
120;BFE;STATION WAGON;CHEVROLET;CAPTIVA II 2.4;2012;AWD;B;93738;4400000
121;PARTICULARES;STATION WAGON;HYUNDAI;TUCSON FL GL 2.0;2014;4x2;B;113271;5400000
123;PARTICULARES;HATCHBACK;FORD;FOCUS 2.0;2015;4x2;B;102081;4400000
124;BFE;SEDAN;MITSUBISHI;LANCER RS 1.6;2015;4x2;B;118770;3900000
125;PARTICULARES;HATCHBACK;SUZUKI;SWIFT GLX HB 1.2;2015;4x2;B;68808;4600000
126;PARTICULARES;STATION WAGON;SUZUKI;GRAND NOMADE GLX SPORT 2.4;2014;4x2;B;90314;4500000
127;BFE;STATION WAGON;SUZUKI;GRAND NOMADE GLX 2.4 AT;2013;4x2;B;87208;4200000
128;PARTICULARES;HATCHBACK;SUZUKI;ALTO DLX HB 800CC;2017;4x2;B;36513;3100000
129;BFE;HATCHBACK;CHEVROLET;SPARK GT LT 1.2;2015;4x2;B;48712;3100000
130;PARTICULARES;HATCHBACK;CHEVROLET;SPARK GT LT 1.2;2016;4x2;B;110668;3100000
131;PARTICULARES;HATCHBACK;KIA MOTORS;MORNING EX 1.2;2015;4x2;B;100804;3200000
132;BFE;HATCHBACK;SUZUKI;SWIFT GLA 1.2;2014;4x2;B;108520;3200000
133;BFE;STATION WAGON;SUZUKI;GRAND NOMADE SPORT 3.2 AT;2010;4WD;B;159116;3100000
134;BFE;SEDAN;NISSAN;TIIDA S 1.6;2011;4x2;B;101753;2500000
1;PARTICULARES;STATION WAGON;JEEP;GRAND CHEROKEE LTD 4X4 3.0 AUT;2017;4WD;D;107175;17700000
2;AUTOMOTORAS;STATION WAGON;PEUGEOT;3008 BLUE HDI HP 1.5 AUT;2019;4x2;D;39469;13400000
3;AUTOMOTORAS;STATION WAGON;PEUGEOT;3008 BLUE HDI HP 1.5 AUT;2019;4x2;D;42664;13400000
4;LEASING;STATION WAGON;KIA MOTORS;GRAND CARNIVAL EX 2.2 AT;2018;4x2;D;84806;13700000
5;PARTICULARES;STATION WAGON;HYUNDAI;CRETA GS PE 1.6;2020;4x2;B;14784;8400000
6;LEASING;STATION WAGON;PEUGEOT;2008 ALLURE BLUEHDI 1.6;2017;4x2;D;89722;7800000
7;PARTICULARES;STATION WAGON;HYUNDAI;NEW TUCSON GL 2.0;2015;4x2;B;33381;7100000
8;PARTICULARES;SEDAN;BMW;118I HB 1.5 AT;2018;4x2;B;49641;11600000
9;BFE;HATCHBACK;HYUNDAI;VELOSTER JS HB 2.0;2019;4x2;B;19894;8900000
10;LEASING;HATCHBACK;AUDI;A1 SPORTBACK TFSI 1.4 AUT;2017;4x2;B;36445;8600000
11;LEASING;SEDAN;SUBARU;ALL NEW LEGACY XS CVT 2.5I;2018;AWD;B;64188;7200000
12;LEASING;SEDAN;SUBARU;ALL NEW LEGACY XS CVT 2.5I;2018;AWD;B;64655;7200000
13;LEASING;SEDAN;HYUNDAI;IONIQ GLS 1.6 AUT;2017;4x2;NULL;84893;8900000
14;LEASING;CAMIONETA;FORD;RANGER DCAB XLT 4X4 3.2;2018;4x4;D;49632;11700000
15;LEASING;CAMIONETA;FORD;RANGER DCAB XLT 4X4 3.2;2018;4x4;D;79973;11700000
16;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X4 2.0;2018;4x4;D;79257;9200000
17;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X4 2.0;2018;4x4;D;119716;8200000
18;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X4 2.0;2017;4x4;D;75521;9400000
19;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X4 2.0;2017;4x4;D;84409;8200000
20;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X4 2.0;2017;4x4;D;95257;8200000
21;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2018;4x4;D;28872;9400000
22;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2018;4x4;D;48297;8400000
